Truck_ID,Mileage_km,Engine_Hours,Truck_Age_Years,Previous_Repairs,Load_Weight_Tons,Average_Speed_kmh,Days_Since_Last_Service,Fuel_Type,Maintenance_Needed
T1060,45920.0,7843.0,6,8,13.4,51,187,Diesel,Yes
T1061,29457.0,7706.0,7,5,17.4,41,416,Diesel,Yes
T1062,88953.0,6096.0,14,7,9.1,84,437,Diesel,Yes
T1063,62995.0,6301.0,13,0,7.5,88,303,Diesel,No
T1064,19692.0,3306.0,8,3,16.2,59,349,Diesel,Yes
T1065,47065.0,1037.0,10,0,18.7,54,160,Petrol,No
T1066,109299.0,6486.0,9,7,11.5,87,393,Diesel,Yes
T1067,173678.0,2341.0,2,0,17.9,52,135,Diesel,No
T1068,21534.0,5516.0,11,2,26.8,84,310,Diesel,Yes
T1069,50397.0,2955.0,10,3,17.6,61,317,Diesel,Yes
T1070,101387.0,1024.0,2,7,22.2,46,345,Diesel,Yes
T1071,11016.0,7471.0,5,5,24.5,44,443,Diesel,No
T1072,65591.0,6125.0,13,6,29.7,88,243,Diesel,Yes
T1073,33247.0,3450.0,5,7,18.9,41,389,Diesel,Yes
T1074,34300.0,4631.0,6,1,24.6,36,384,Diesel,Yes
T1075,92798.0,5280.0,3,7,29.0,46,17,Diesel,Yes
T1076,19268.0,4615.0,8,2,28.4,41,350,Petrol,Yes
T1077,96807.0,2868.0,13,6,6.0,34,138,,Yes
T1078,22185.0,4347.0,1,2,13.4,89,273,Diesel,No
T1079,149643.0,7155.0,6,6,11.1,46,166,Diesel,Yes
T1080,,4995.0,4,1,4.4,74,361,Petrol,Yes
T1081,61214.0,3201.0,1,5,19.7,38,367,Petrol,No
T1082,124752.0,1471.0,15,2,22.6,88,14,Diesel,No
T1083,58984.0,6502.0,7,2,25.7,71,95,Diesel,No
T1084,50774.0,7114.0,9,8,5.4,53,184,Diesel,Yes
T1085,12568.0,1666.0,13,6,26.5,60,299,Diesel,Yes
T1086,130151.0,5711.0,4,4,20.0,76,202,Diesel,Yes
T1087,143767.0,5429.0,4,6,21.7,31,320,Diesel,Yes
T1088,134375.0,6419.0,6,8,27.5,53,128,Diesel,Yes
T1089,146330.0,3274.0,12,0,19.5,35,227,Diesel,No
T1090,49504.0,2482.0,15,6,11.4,57,436,Diesel,Yes
T1091,174231.0,1353.0,3,5,25.1,30,467,Diesel,Yes
T1092,23986.0,4646.0,13,8,12.2,56,423,Diesel,No
T1093,71858.0,4236.0,12,0,3.0,75,123,Diesel,No
T1094,139312.0,4269.0,6,3,25.3,82,475,Diesel,Yes
T1095,22666.0,1074.0,7,8,11.7,50,154,Diesel,Yes
T1096,48660.0,3761.0,11,3,23.7,70,35,Diesel,Yes
T1097,144633.0,1648.0,10,2,12.2,53,145,Petrol,Yes
T1098,36854.0,6793.0,10,8,26.1,28,312,Diesel,Yes
T1099,74505.0,6957.0,3,1,8.1,37,241,Diesel,Yes
T1100,114488.0,7213.0,7,3,29.3,63,378,Diesel,Yes
T1101,32662.0,6948.0,14,5,23.8,39,85,Diesel,Yes
T1102,18392.0,2215.0,3,1,5.2,53,484,Diesel,No
T1103,,5277.0,13,7,17.8,53,337,Diesel,Yes
T1104,123569.0,5433.0,13,7,29.6,56,354,Petrol,Yes
T1105,62256.0,4354.0,2,0,15.2,26,311,Diesel,No
T1106,99135.0,5673.0,12,2,7.1,71,461,Petrol,Yes
T1107,137478.0,7646.0,14,8,15.6,46,298,Petrol,Yes
T1108,45222.0,2991.0,10,4,16.3,51,10,Diesel,No
T1109,87373.0,3160.0,4,5,22.8,80,156,Petrol,Yes
T1110,133684.0,7636.0,12,3,21.6,45,296,Diesel,No
T1111,20965.0,6907.0,8,1,13.3,71,473,Diesel,No
T1112,34538.0,3624.0,13,7,8.1,83,151,Diesel,No
T1113,118066.0,6191.0,15,5,20.1,30,62,Petrol,Yes
T1114,123252.0,3551.0,9,4,13.8,43,313,Petrol,Yes
T1115,149182.0,504.0,7,8,5.7,81,78,Diesel,Yes
T1116,168338.0,5722.0,1,0,27.2,27,370,Diesel,No
T1117,108806.0,5815.0,3,4,,25,99,Diesel,Yes
T1118,147982.0,5369.0,13,5,21.1,82,455,Diesel,No
T1119,120989.0,1376.0,12,4,25.0,62,229,Diesel,Yes
T1120,100982.0,1491.0,14,5,16.8,39,459,Diesel,Yes
T1121,131626.0,7527.0,9,5,24.8,58,201,Diesel,Yes
T1122,129176.0,4642.0,15,6,15.9,85,463,Diesel,Yes
T1123,141278.0,7510.0,12,3,3.9,59,72,Petrol,Yes
T1124,132409.0,7466.0,1,7,13.3,88,82,Diesel,No
T1125,33419.0,7579.0,9,6,15.9,49,170,Diesel,Yes
T1126,60015.0,7299.0,8,8,22.2,48,178,Diesel,No
T1127,132096.0,4864.0,1,6,5.0,36,98,Petrol,Yes
T1128,117059.0,4965.0,6,2,5.9,42,185,Petrol,Yes
T1129,120687.0,1135.0,5,2,9.4,39,278,Diesel,Yes
T1130,97939.0,5725.0,6,7,9.5,51,82,Diesel,Yes
T1131,159213.0,2193.0,10,4,22.5,84,254,Diesel,Yes
T1132,115878.0,2182.0,12,3,9.0,70,86,Diesel,Yes
T1133,174899.0,5252.0,13,7,19.7,41,168,Diesel,No
T1134,72623.0,619.0,13,5,15.8,77,498,Diesel,Yes
T1135,85450.0,1330.0,13,1,18.1,32,468,Diesel,No
T1136,103426.0,6406.0,15,3,25.5,51,333,Diesel,Yes
T1137,127845.0,4175.0,5,3,13.3,70,107,Diesel,Yes
T1138,163371.0,5677.0,6,5,23.6,74,390,Diesel,Yes
T1139,53585.0,6570.0,5,5,13.8,27,111,Diesel,No
T1140,119225.0,1869.0,11,0,11.9,88,141,Petrol,No
T1141,74044.0,1240.0,12,7,28.8,68,111,Diesel,Yes
T1142,119556.0,616.0,5,5,7.2,77,28,Petrol,Yes
T1143,12693.0,6449.0,4,2,4.5,48,463,Diesel,No
T1144,105259.0,3338.0,3,8,23.6,84,491,Diesel,Yes
T1145,35939.0,1650.0,3,1,3.9,27,91,Diesel,Yes
T1146,162906.0,2431.0,4,7,25.4,44,406,Diesel,No
T1147,28047.0,1512.0,9,2,14.2,70,498,Diesel,Yes
T1148,36105.0,2164.0,2,4,27.6,39,288,Diesel,Yes
T1149,85766.0,1581.0,15,5,22.2,49,348,Diesel,Yes
T1150,156779.0,5229.0,9,5,19.1,41,374,Diesel,No
T1151,163048.0,1012.0,1,3,28.6,33,340,Diesel,Yes
T1152,54262.0,3349.0,14,2,13.1,62,138,Diesel,No
T1153,135117.0,5715.0,15,3,28.7,72,353,Diesel,No
T1154,33776.0,5737.0,15,0,5.8,84,319,Diesel,
T1155,171152.0,1059.0,1,3,15.5,87,464,Diesel,No
T1156,138376.0,4172.0,5,0,9.6,26,98,Diesel,Yes
T1157,147848.0,5083.0,6,0,17.1,35,222,Petrol,Yes
T1158,102787.0,7904.0,6,5,6.5,88,152,Diesel,Yes
T1159,137948.0,5492.0,3,4,25.6,45,74,Diesel,Yes
T1160,65016.0,3843.0,7,3,25.7,42,85,Petrol,No
T1161,150546.0,5808.0,9,2,28.7,88,208,Diesel,Yes
T1162,31959.0,4570.0,11,0,6.3,62,152,Diesel,Yes
T1163,146602.0,5299.0,12,5,19.5,56,414,Diesel,Yes
T1164,129101.0,1970.0,10,1,15.3,35,412,Diesel,Yes
T1165,13748.0,1080.0,8,7,11.6,69,325,Diesel,No
T1166,23545.0,7433.0,6,4,11.8,57,102,Diesel,Yes
T1167,137659.0,7504.0,12,6,13.6,65,482,Diesel,Yes
T1168,175838.0,2794.0,8,1,21.7,32,426,Diesel,Yes
T1169,83530.0,3647.0,12,7,18.8,35,314,Petrol,Yes
T1170,103557.0,4749.0,5,1,14.9,75,233,Diesel,Yes
T1171,71087.0,2179.0,8,3,4.1,65,300,Diesel,Yes
T1172,78840.0,4006.0,10,0,4.2,41,437,Diesel,No
T1173,128451.0,5592.0,12,4,2.1,70,111,Diesel,Yes
T1174,61005.0,7753.0,4,8,29.1,56,483,Diesel,No
T1175,49353.0,3244.0,10,0,2.1,78,276,Diesel,Yes
T1176,62733.0,3856.0,8,8,4.9,44,364,Diesel,Yes
T1177,75318.0,4545.0,10,7,10.8,57,465,Petrol,Yes
T1178,164736.0,1743.0,12,5,24.6,64,119,Diesel,No
T1179,77172.0,5688.0,2,6,28.9,56,471,Diesel,No
T1180,103264.0,3618.0,12,2,24.1,26,339,Diesel,Yes
T1181,36736.0,5604.0,12,0,21.3,57,459,Diesel,No
T1182,122859.0,2641.0,5,4,16.6,54,439,Diesel,Yes
T1183,122181.0,6369.0,9,1,4.4,57,274,Diesel,Yes
T1184,141926.0,5553.0,4,4,28.8,50,12,Diesel,No
T1185,100084.0,,11,7,23.2,46,94,Diesel,No
T1186,179695.0,5048.0,6,8,,62,291,Diesel,Yes
T1187,17392.0,5823.0,15,1,23.3,70,337,Diesel,Yes
T1188,65680.0,3459.0,1,2,22.3,39,313,Diesel,No
T1189,60859.0,2765.0,9,2,19.8,68,459,Diesel,Yes
T1190,135657.0,,1,0,29.5,73,463,Diesel,Yes
T1191,167381.0,2979.0,5,7,27.3,85,421,Diesel,No
T1192,80467.0,6984.0,4,5,,30,126,Diesel,Yes
T1193,108506.0,5146.0,13,7,21.4,33,230,Diesel,Yes
T1194,119751.0,2135.0,12,8,3.4,30,163,Diesel,Yes
T1195,128906.0,5908.0,13,4,20.8,56,162,Diesel,Yes
T1196,153760.0,7921.0,13,2,3.2,65,21,Petrol,Yes
T1197,35342.0,2257.0,14,4,18.5,32,142,Diesel,
T1198,178229.0,4952.0,3,4,30.0,74,491,Petrol,Yes
T1199,116308.0,2570.0,13,4,17.6,86,313,Diesel,Yes
T1200,116081.0,6381.0,6,2,15.2,86,302,Diesel,Yes
T1201,99045.0,7165.0,2,3,10.8,31,472,Diesel,Yes
T1202,44698.0,6377.0,3,8,,28,309,Diesel,No
T1203,120078.0,7767.0,5,8,22.5,30,237,Diesel,Yes
T1204,90623.0,3349.0,15,1,7.4,82,280,Diesel,Yes
T1205,32671.0,3751.0,9,7,5.2,46,52,Diesel,No
T1206,166256.0,7890.0,2,7,13.8,50,441,Diesel,No
T1207,103384.0,7405.0,10,6,24.3,27,352,Diesel,Yes
T1208,96202.0,4230.0,8,7,22.9,65,335,Diesel,Yes
T1209,61663.0,2989.0,14,2,3.5,84,311,Diesel,No
T1210,25708.0,2131.0,2,5,14.7,38,373,Diesel,No
T1211,101906.0,3316.0,11,0,16.6,36,388,Diesel,Yes
T1212,59811.0,1515.0,13,6,20.0,36,436,Diesel,Yes
T1213,143883.0,1848.0,5,0,20.2,37,30,Diesel,Yes
T1214,66250.0,5111.0,7,8,12.2,49,416,Petrol,No
T1215,,3587.0,8,0,17.7,69,116,Petrol,Yes
T1216,134249.0,3339.0,1,0,15.5,43,345,Diesel,Yes
T1217,44754.0,835.0,6,6,26.8,79,312,Diesel,Yes
T1218,152483.0,6378.0,1,1,16.8,69,126,Diesel,No
T1219,143983.0,6901.0,2,4,14.3,32,133,Diesel,Yes
T1220,149752.0,5092.0,15,7,13.3,77,408,Diesel,Yes
T1221,94896.0,1395.0,1,7,18.0,79,290,Diesel,Yes
T1222,81295.0,6803.0,11,2,24.5,56,301,Diesel,No
T1223,110689.0,4046.0,5,6,17.1,75,212,Petrol,Yes
T1224,21111.0,1351.0,10,2,20.5,68,60,Diesel,Yes
T1225,47504.0,2187.0,15,5,22.7,42,280,Diesel,Yes
T1226,142874.0,2431.0,9,5,16.6,46,333,Diesel,Yes
T1227,18155.0,7333.0,6,2,14.0,61,286,Petrol,No
T1228,49384.0,4246.0,11,6,26.5,80,150,Diesel,No
T1229,122561.0,2927.0,11,2,13.7,83,479,Diesel,Yes
T1230,57254.0,2068.0,1,7,14.9,27,284,Diesel,Yes
T1231,31918.0,4500.0,13,3,29.7,52,299,Diesel,Yes
T1232,95981.0,5552.0,1,0,2.0,59,343,Diesel,Yes
T1233,40306.0,3238.0,2,3,7.2,85,390,Diesel,Yes
T1234,157718.0,3998.0,9,6,12.8,78,461,Diesel,No
T1235,56843.0,6232.0,3,3,28.1,87,382,Diesel,Yes
T1236,130975.0,5887.0,15,5,4.0,31,61,Diesel,No
T1237,106601.0,6036.0,1,8,2.3,73,36,Diesel,Yes
T1238,117512.0,5787.0,5,0,3.5,55,166,Diesel,Yes
T1239,157443.0,4413.0,7,4,4.5,82,248,Diesel,Yes
T1240,121472.0,1566.0,6,6,3.1,85,165,Diesel,Yes
T1241,143121.0,4880.0,12,0,15.4,48,300,Diesel,Yes
T1242,172688.0,2944.0,1,3,18.3,44,145,,Yes
T1243,113727.0,4607.0,5,5,9.6,61,153,Diesel,Yes
T1244,122893.0,6226.0,15,1,13.2,28,115,Diesel,No
T1245,30932.0,3873.0,5,4,4.6,44,429,Diesel,Yes
T1246,,4469.0,6,0,11.4,84,167,Diesel,Yes
T1247,39855.0,7920.0,3,5,16.6,48,155,Diesel,Yes
T1248,17400.0,3046.0,5,5,22.5,74,11,Diesel,Yes
T1249,127858.0,1253.0,7,3,2.1,73,442,Diesel,Yes
T1250,25151.0,2582.0,5,7,15.1,75,86,Diesel,Yes
T1251,76690.0,3274.0,5,3,10.3,60,141,Diesel,Yes
T1252,14499.0,3396.0,5,7,25.9,58,99,Diesel,No
T1253,16295.0,4685.0,10,7,22.0,60,354,Diesel,Yes
T1254,130885.0,1275.0,10,4,18.5,30,359,Diesel,No
T1255,136071.0,7248.0,3,3,9.8,63,468,Diesel,Yes
T1256,69040.0,7613.0,1,1,27.5,66,272,Diesel,Yes
T1257,22183.0,2125.0,5,2,3.3,82,360,Petrol,No
T1258,170371.0,3569.0,14,2,5.1,36,117,Diesel,No
T1259,153946.0,917.0,9,3,13.0,27,83,Diesel,Yes
T1260,126336.0,614.0,14,3,5.5,42,48,Diesel,No
T1261,42711.0,1116.0,1,4,28.8,64,406,Diesel,Yes
T1262,15539.0,4474.0,3,3,24.3,45,168,Diesel,Yes
T1263,136063.0,3767.0,13,7,9.3,39,80,Diesel,Yes
T1264,143629.0,1325.0,13,5,18.5,50,456,Diesel,Yes
T1265,48360.0,6245.0,4,5,29.5,32,321,Diesel,No
T1266,143272.0,2016.0,14,7,26.8,66,250,Diesel,Yes
T1267,31357.0,3646.0,1,6,18.8,68,435,Diesel,Yes
T1268,129121.0,912.0,1,7,27.3,38,454,Diesel,Yes
T1269,87505.0,1228.0,8,1,29.7,26,307,Petrol,No
T1270,12869.0,3848.0,2,8,22.8,61,449,Diesel,Yes
T1271,60108.0,7664.0,12,0,3.8,62,45,Diesel,Yes
T1272,122296.0,3308.0,15,7,13.2,65,93,Petrol,No
T1273,104179.0,1175.0,8,3,25.5,86,461,Diesel,No
T1274,100272.0,3965.0,7,3,8.5,84,383,Diesel,Yes
T1275,48467.0,6488.0,10,4,25.3,38,272,Diesel,
T1276,33328.0,3004.0,10,7,5.4,26,319,Diesel,Yes
T1277,101412.0,3467.0,2,4,3.3,41,394,Diesel,Yes
T1278,145059.0,6835.0,6,7,12.8,52,181,Diesel,Yes
T1279,68871.0,3286.0,6,0,3.0,59,385,Diesel,Yes
T1280,163471.0,1622.0,3,8,28.8,29,182,Petrol,No
T1281,138391.0,4579.0,11,5,25.1,89,371,Diesel,Yes
T1282,96416.0,2071.0,2,2,24.4,64,56,Diesel,Yes
T1283,80271.0,5573.0,12,7,19.6,80,388,Diesel,Yes
T1284,54064.0,5604.0,1,8,8.1,60,150,Diesel,Yes
T1285,117450.0,2643.0,6,5,16.5,69,384,Diesel,No
T1286,29830.0,2187.0,12,6,18.7,47,415,Petrol,Yes
T1287,158501.0,7306.0,5,0,16.7,71,127,Diesel,Yes
T1288,147965.0,7857.0,14,4,9.3,55,286,Diesel,Yes
T1289,126381.0,4632.0,14,4,16.4,35,223,Diesel,Yes
T1290,57333.0,4351.0,11,3,15.8,34,229,Petrol,Yes
T1291,144508.0,3940.0,9,5,29.9,38,402,Diesel,Yes
T1292,86213.0,4266.0,1,6,27.1,34,35,Diesel,No
T1293,146967.0,6144.0,15,8,15.0,25,18,Diesel,No
T1294,160810.0,2826.0,15,0,19.4,29,280,Petrol,Yes
T1295,40746.0,6860.0,7,5,22.9,44,19,Diesel,Yes
T1296,59377.0,3414.0,15,6,3.0,32,481,Petrol,No
T1297,64045.0,5468.0,5,2,27.1,67,387,Diesel,No
T1298,107888.0,6417.0,5,7,26.1,25,130,Diesel,No
T1299,117455.0,,14,4,14.8,81,134,Diesel,Yes
T1300,146672.0,4452.0,2,8,13.0,88,179,Diesel,Yes
T1011,122727.0,2705.0,13,3,27.7,62,314,Diesel,Yes
T1026,94478.0,1199.0,3,4,14.9,57,466,Petrol,No
T1051,134243.0,2186.0,2,4,4.1,77,491,Diesel,No
